2130-09-01 00:00, 19.8, 57.4, 10.8
2130-09-01 00:30, 17.1, 55.8, 13.2
2130-09-01 01:00, 18.9, 56.4, 11.9
2130-09-01 01:30, 20.4, 54.1, 12.2
2130-09-01 02:00, 18.1, 53.6, 10.8
2130-09-01 02:30, 17.8, 51.4, 14.9
2130-09-01 03:00, 19.0, 58.1, 12.2
2130-09-01 03:30, 21.8, 58.9, 12.1
2130-09-01 04:00, 21.5, 54.5, 14.7
2130-09-01 04:30, 17.7, 53.9, 13.4
2130-09-01 05:00, 17.2, 53.2, 14.0
2130-09-01 05:30, 17.4, 51.4, 13.9
2130-09-01 06:00, 21.6, 50.2, 14.7
2130-09-01 06:30, 18.0, 54.3, 12.0
2130-09-01 07:00, 19.3, 51.9, 10.8
2130-09-01 07:30, 21.0, 51.5, 11.6
2130-09-01 08:00, 18.3, 52.2, 12.2
2130-09-01 08:30, 18.2, 52.9, 10.1
2130-09-01 09:00, 20.2, 53.5, 12.3
2130-09-01 09:30, 21.9, 58.0, 12.2
2130-09-01 10:00, 18.1, 57.7, 11.5
2130-09-01 10:30, 17.5, 59.0, 13.2
2130-09-01 11:00, 17.6, 58.3, 14.7
2130-09-01 11:30, 18.9, 52.5, 11.7
2130-09-01 12:00, 17.4, 51.4, 10.1
2130-09-01 12:30, 21.8, 56.5, 12.9
2130-09-01 13:00, 17.6, 53.1, 12.9
2130-09-01 13:30, 18.9, 57.1, 11.8
2130-09-01 14:00, 17.0, 53.8, 10.4
2130-09-01 14:30, 20.2, 50.8, 13.0
2130-09-01 15:00, 19.5, 55.5, 10.5
2130-09-01 15:30, 21.8, 54.4, 12.4
2130-09-01 16:00, 21.4, 56.0, 11.5
2130-09-01 16:30, 18.8, 59.1, 14.1
2130-09-01 17:00, 17.3, 50.4, 14.1
2130-09-01 17:30, 21.5, 54.4, 10.7
2130-09-01 18:00, 19.0, 57.4, 13.9
2130-09-01 18:30, 17.6, 59.2, 10.6
2130-09-01 19:00, 18.2, 51.4, 12.4
2130-09-01 19:30, 20.0, 57.3, 10.3
2130-09-01 20:00, 21.4, 58.9, 10.9
2130-09-01 20:30, 17.3, 56.6, 10.1
2130-09-01 21:00, 18.4, 51.6, 13.1
2130-09-01 21:30, 18.7, 57.4, 13.5
2130-09-01 22:00, 21.1, 52.8, 14.0
2130-09-01 22:30, 21.3, 53.8, 14.1
2130-09-01 23:00, 21.5, 52.0, 13.4
2130-09-01 23:30, 21.9, 56.3, 14.5
